word,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,count
our,0.25533511835269235,0.24624157142206665,0.24691759862680557,0.24407799538042016,0.2888692942419207,0.31435809819144983,0.32558902298039266,0.3340067981416019,0.33949111445236485,0.3410109208124401,27430000000.0
so,0.30484148198089217,0.3003613318365968,0.30032072782472596,0.2911088698181337,0.36011330132381497,0.34459405420984274,0.32339799867658725,0.32350709461597565,0.33402102769943315,0.33850925237320234,31400000000.0
i,0.38772744902192263,0.38102189778631673,0.384469704011211,0.3678344534166297,0.42792736436563117,0.3889104750967706,0.33804676737416756,0.33042218911266275,0.3288695572625626,0.3231706351620219,63960000000.0
t,0.33569781357003325,0.3383318823267231,0.3371892243923729,0.32137291330066264,0.3575893780071318,0.33636127496506,0.31274529514785665,0.3098493265903141,0.3172403806325612,0.3225336675993108,45730000000.0
what,0.29019103185855183,0.2883965976090343,0.2880964298869835,0.27655219686772825,0.3193752276865715,0.3147195515894768,0.3042313884613291,0.30517318212383504,0.31568029963468586,0.32230094932599346,31170000000.0
like,0.27804042006636087,0.2755726386821951,0.2764242932230187,0.26498480007639014,0.31036281464176724,0.30059724388004194,0.2854485043834415,0.2846679613140976,0.2942499914392314,0.2985573785757231,24040000000.0
some,0.2659274825302243,0.266971943197778,0.2672465991236603,0.2547631566883755,0.29685711073664045,0.29288255085433246,0.2801464431449082,0.2810668996531269,0.2917454510014161,0.29681624468945816,25500000000.0
get,0.2504157850988168,0.24582410787243714,0.2425525401800072,0.23954374449838126,0.276249106256216,0.27837783602033594,0.26610615683785926,0.26705384446625297,0.2803970940866651,0.28399034619307606,40660000000.0
make,0.21393934721088556,0.211130327791161,0.21040857462345566,0.20464205652168543,0.2405305915551221,0.24848451833624233,0.24838768473435613,0.24992744865755773,0.261599650882995,0.2693562966715974,25140000000.0
just,0.2701673507457829,0.2688353595441456,0.2678717521989433,0.2551430458593494,0.2973453313014443,0.2847476784298333,0.26344363587506,0.2592397318151842,0.26618568814770993,0.26717268802232674,19210000000.0
first,0.2452032940584085,0.25008817294507757,0.25055898918252256,0.2383488416313136,0.2521501884547143,0.2501102251303786,0.2477373705478231,0.2487640952856473,0.2576410554149524,0.26354337473640155,27970000000.0
only,0.23331576441251514,0.23322089034953195,0.2329636642913315,0.22809079264050858,0.24864097712471064,0.24775496294795762,0.24393840780272538,0.24724740739312334,0.2549456765186493,0.2594134998672576,24800000000.0
over,0.2293561947874877,0.23160264399148267,0.2317834760910551,0.22284749323196892,0.24246315290995188,0.2441725541383106,0.24160210086360953,0.24335190808395638,0.253026855002581,0.25748668425232785,27090000000.0
them,0.21021878859253285,0.20884692644610547,0.2101325241318593,0.20498891924389326,0.2432689943332196,0.2393500568839078,0.23392405249830758,0.23661041174500802,0.24783489589931482,0.25473589437293337,18730000000.0
may,0.21116165460018874,0.20601221190172747,0.20772192567404824,0.200776070539904,0.20714062656283863,0.22106987853933027,0.21986708933918,0.22459787889416563,0.23650506867906604,0.24431996292831296,27640000000.0
here,0.20733880692273224,0.1990614282460026,0.1981790715985464,0.19048074459212622,0.23150439917696264,0.2299931551159987,0.21787138577642384,0.21718037651133681,0.22037683749421474,0.2230545025957614,25390000000.0
while,0.17132386538717312,0.17707458893299005,0.17832451781147668,0.17059448691658508,0.18503604067393867,0.18716937872155595,0.18849355186758812,0.19436045442748923,0.20665381366873853,0.2162054384553909,21180000000.0
even,0.17349956695860408,0.17446076314995854,0.175102810017554,0.16743295891244117,0.19751128294571776,0.19506960559168188,0.19000015333040549,0.19312618002789492,0.20447784604800878,0.20932619142805745,14080000000.0
5,0.20249163395055172,0.207513849427347,0.20685167127410667,0.20166444800764546,0.18714094221334437,0.1866956422955551,0.1881343163178785,0.19052558040466674,0.19712141651487972,0.20126966606213004,58630000000.0
year,0.20996240173010386,0.22000908671297695,0.21935636062556144,0.20409461231720344,0.19890363926314772,0.19643849839612565,0.19534395577090463,0.19367568485785888,0.19843387717862448,0.20066924125720814,25100000000.0
he,0.23321751377860195,0.24762633814652307,0.24898112428395636,0.23033469968044892,0.22518650258733913,0.21121278812327016,0.19020047184242622,0.1879276247876083,0.19395092531761113,0.1927583834326637,22130000000.0
before,0.16286070775420677,0.16643178167997308,0.16801046676709605,0.1605341928200968,0.17721835100090602,0.1760854324330321,0.17502813756381208,0.1770853029077173,0.18570984161691853,0.19067128582318146,21920000000.0
know,0.17408556370862827,0.16811750135990425,0.16694712172044088,0.15858278450240054,0.1989566745905277,0.19188465854206543,0.1804706799537617,0.18193467182081569,0.187538988357537,0.19012723862318814,24840000000.0
4,0.19517496397432477,0.19995033727737632,0.1998832854662933,0.19405722845994927,0.18127110383224868,0.17697932887417184,0.17682904130122448,0.1780537285597493,0.1823096965170685,0.1851197545789447,48720000000.0
